bitstream_uuid,chunk_id,abstract_ar,abstract_en,query
8abfdcc5-1931-4a98-a21e-41b60d1ccd3f,0,هدفت هذه الدراسة إلى معرفة أثر استخدام استراتيجية التدريس التبادلي على تحصيل الرياضيات والاتجاه نحوها لدى طلبة الصف الخامس الأساسي في نابلس، وتحديداً الإجابة عن الأسئلة الرئيسية الاتية : 1- ما أثر استخدام استراتيجية التدريس التبادلي على تحصيل الرياضيات لدى طلبة الصف الخامس الأساسي في نابلس؟ 2- ما أثر استخدام استراتيجية التدريس التبادلي في الاتجاه نحو الرياضيات لدى طلبة الصف الخامس الأساسي في نابلس؟ وللإجابة عن أسئلة الدراسة واختبار فرضياتها، تم استخدام تصميماً شبه تجريبي، وطبقت الدراسة على عينة قصدية من طلبة الصف الخامس الأساسي في نابلس، حيث تم اختيار شعبتين من شعب الصف الخامس في المدرسة العربية الأمريكية والتي تعمل فيها الباحثة كمعلمة، فتم اختيارها عشوائياً إحداهما تجريبية تم تدريبها على إستخدام استراتيجية التدريس التبادلي لتدريس وحدة الهندسة، والأخرى ضابطة وذلك في الفصل الأول من العام (2018/2019) وقد طبقت من أجل جمع البيانات على عينة الدراسة الأدوات الأتية: 1- الاختبار ( القبلي، البعدي) 2- استبانة الاتجاهات وقد توصلت الدراسة إلى النتائج الاتية: 3- توجد فروق ذات دلالة إحصائية عند مستوى الدلالة (0.05 ≤α) بين متوسطات اختبار التحصيل لطلبة الصف الخامس الاساسي في الرياضيات في الاختبار البعدي تعزى إلى طريقة التدريس (طريقة التدريس التبادلي، الطريقة الاعتيادية). 4- توجد فروق ذات دلالة إحصائية عند مستوى الدلالة (0.05≤α) في الاتجاه نحو الرياضيات لطلبة الصف الخامس تعزى إلى طريقة التدريس (طريقة التدريس التبادلي، الطريقة الاعتيادية),,أثر استخدام استراتيجية التدريس التبادلي في تحصيل الرياضيات والاتجاه نحوها لدى طالبات الصف الخامس في نابلس
8f264f57-14e7-44f7-8736-3a5189fdbf68,0,هدفت الدراسة الحالية إلى الكشف عن فاعلية إستراتيجية الصفّ المقلوب في تحصيل طلبة الصفّ السابع الأساسي، وعلى تعلّمهم الذاتي واتجاهاتهم نحوها في محافظة نابلس، وقد حاولت الدراسة الإجابة عن السؤال الرئيس الآتي: ما فاعلية استخدام إستراتيجية الصفّ المقلوب في التحصيل والتعلّم الذاتي والاتجاهات في الرياضيات لدى طلبة الصفّ السابع الأساسي في محافظة نابلس؟ وللإجابة عن أسئلة الدراسة واختبار فرضياتها، فقد استخدم المنهج التجريبي بتصميم شبه تجريبي، والمنهج الوصفي الكميّ والنوعيّ، وطبقت الدراسة على عينة تكونت من (79) طالبة من طلبة الصفّ السابع الأساسي، حيث تم تقسيمهم إلى مجموعتين: إحداهما تجريبية، تكونت من (40) طالبة تم تدريسهم وحدة الهندسة والقياس وفق إستراتيجية الصفّ المقلوب، والأخرى ضابطة، بلغ عدد طلبتها (39) طالبة تم تدريسهم محتوى الوحدة نفسها بالطريقة الاعتيادية، وذلك خلال الفصل الدراسي الثاني من العام (2018-2019). وقد أعدّت الباحثة دليل التدريس لوحدة الهندسة والقياس وفق إستراتيجية الصفّ المقلوب، الذي استعانت فيه بتدريسها المجموعة التجريبية لوحدة الهندسة والقياس وفقًا للإستراتيجية,,فاعلية استراتيجية الصف المقلوب في تدريس وحدة الهندسة والقياس لطالبات الصف السابع الأساسي واتجاهاتهن نحوها
ee2ccbbf-55df-41c2-985a-dc0baba94410,0,هدفت هذه الدراسة إلى الكشف عن أثر التدريس باستخدام برنامج Minitabفي تحصيل طلبة الصف التاسع الأساسي في وحدة الإحصاء، ودافعيتهم نحو تعلّمه في منطقة نابلس، وتحديداً حاولت الدراسة الإجابة عن السؤال الرئيس الآتي: ما أثر استخدام برنامج Minitabفي تحصيل طلبة الصف التاسع الأساسي في وحدة الإحصاء ودافعيتهم نحو تعلّمه في مدارس نابلس؟ وللإجابة عن سؤال الدراسة واختبار فرضياتها، تم تطبيق الدراسة على عينة مكونة من (68) طالباً من طلاب الصف التاسع الأساسي بمدرسة عبد الرحيم جردانة الأساسية للبنين، وتم تقسيم العينة إلى مجموعتين إحداهما تجريبية، درست محتوى وحدة الإحصاء باستخدام برنامجMinitab 16، والأخرى ضابطة درست الوحدة نفسها بالطريقة التقليدية، وذلك في الفصل الثاني من العام الدراسي (2015-2016). وطُبّقت على عينة الدراسة الأدوات الآتية: - اختبار تحصيلي بعدي لقياس تحصيل الطلبة بعد الانتهاء من دراسة وحدة الإحصاء، وقد تم التحقق منه بالتحكيم، وحساب معامل ثباته فكانت قيمته (0.832). - مقياس للدافعية نحو تعلّم الإحصاء للمجموعتين التجريبية والضابط,"The study aimed at investigating the effect of using Minitab program on ninth grade students in statistics unit and their motivation towards its learning in Nablus schools. The researcher tried to answer this question: What is the effect of using Minitab program on student's achievement in statistics unit and their motivation towards its learning of ninth grade in Nablus Schools? To answer the study question and its hypotheses, the researcher applied a quasi experiment approach and the qualitative approach on a sample of (68) ninth graders studying at Abd Al-Rahem Jardaneh basic school for boys during the first semester 2015-2016. The sample was divided into two groups; one is control, the other is experimental. The two groups studied the statistics unit in mathematics textbook; the experimental group was taught using Minitab program, while the control group was taught using a traditional way of teaching. - A post-test that measured the achievement of the students after having finished the studying the statistics unit. The validity and reliability of the test were calculated, and the value of reliability was(0.832). - A scale of motivation towards statistics learning in the pre and post phases of using Minitab program. The validity and reliability of the test were calculated, and the value of reliability was (0.852). - To test the hypothesis, the data were analyzed by using One-way analysis of variance ANCOVA, and by using person correlation to examine the relation between achievement and motivation. The result of the study was. 1. There was a significant statistical difference at (α=0.05) between the mean of the ninth students who used Minitab program to learn the statistics unit and the mean of the ninth students who used traditional method based on the achievement of the post-test. The results were in favor of the treatment group. 2",effect of using Minitab software on ninth grade students’ achievement and motivation in learning statistics in Nablus schools
52876407-4123-4503-9dff-17bc4695611b,0,هدفت هذه الدراسة إلى معرفة أثر التدريس المستند إلى الكفايات على التحصيل في الرياضيات والميل نحو تعلمها لدى طلبة الصف السابع الأساسي في مدارس محافظة نابلس،وتحديداً حاولت الدراسة الإجابة على السؤال الرئيس: ما أثر التدريس المستند إلى الكفايات في التحصيل في الرياضيات والميل نحو دراستها لدى طلبة الصف السابع الأساسي؟ وللإجابة عن هذا السؤال واختبار الفرضيات، استخدمت الباحثة التصميم شبه التجريبي، وتم تطبيق الدراسة على عينة من طلاب الصف السابع الأساسي، وتم اختيار مجموعتين في إحدى مدارس نابلس، التي تحوي شعبتين للصف السابع الأساسي، بحيث كانت أحداها مجموعة تجريبية (درست وحدة الاحتمالات بواسطة استراتيجية التدريس المستند إلى الكفايات)، والثانية مجموعة ضابطة (درست وحدة الاحتمالات دون استخدام استراتيجية التدريس المستند إلى الكفايات)، وتم ذلك في الفصل الدراسي الثاني من العام (2017/2018)، وقد طبقت على عينة الدراسة الأدوات الآتية: 1. دليل معلم وفق التدريس بالكفايات وذلك بهدف استخدامها لتدريس وحدة الاحتمالات للمجموعة التجريبية. 2. اختبار تحصيلي بعدي، بهدف قياس تحصيل الطلاب بعد الانتهاء من تدريس وحدة الاحتمالات. 3. مقياس الميول تجاه الرياضيات،لقياس ميل الطلاب نحو تعلم الرياضيات للمجموعتين التجريبية والضابطة بعد تطبيق التدريس بالكفايات على المجموعة التجريبية. 4. تحليل التباين الأحادي المصاحب (One -Way ANCOVA)، ومعامل ارتباط بيرسون وذلك بهدف معالجة البيانات احصائياً. وقد توصلت الدراسة إلى النتائج التالية: 1. وجود فروق ذات دلالة إحصائية عند مستوى الدلالة (α = 0.05) بين متوسطي تحصيل طلاب المجموعة الضابطة والمجموعة التجريبية تعزى لطريقة التدريس (استراتيجية التدريس بالكفاءات) وذلك لصالح المجموعة التجريبية التي درست باستخدام طريقة التدريس بالكفاءات. 2,,أثر التدريس المستند إلى الكفايات على تحصيل طالبات الصف السابع في الرياضيات والميل نحو تعلمها
41f774f5-31ae-457f-9953-51388305b933,0,هدفت هذه الدراسة إلى التعرف إلى أثر استخدام استراتيجية التدريس التبادلي في تدريس العلوم على التحصيل العلمي، وبقاء أثر التعلم، وإثارة الدافعية لدى طلبة الصف السابع الأساسي. تمّ استخدام المنهج التجريبي والتصميم شبه التجريبي. حيث تمّ تطبيق أدوات الدراسة على عينة قصدية مؤلفة من (70) طالبة من طالبات الصف السابع الأساسي في مدرسة بنات أبو ذر الغفاري الأساسية التابعة لمديرية التربية والتعليم / طوباس وذلك في الفصل الأول من العام الدراسي 2016/2017. وقد تمّ توزيع الطالبات عشوائياً على مجموعتين: المجموعة التجريبية التي تكونت من (34) طالبة ودُرسّت باستخدام استراتيجية التدريس التبادلي، والمجموعة الضابطة التي تكونت من (36) طالبة ودُرسّت بالطريقة الاعتيادية. ولتحقيق أهداف الدراسة تمّ إعداد أدوات الدراسة التي تكونت من اختبار تحصيلي مكون من (28) فقرة، واستبانة لقياس دافعية الطلبة نحو العلوم مكونة من (24) فقرة، وتمّ التأكد من صدق أدوات الدراسة وثباتها. كما تمّ إعداد دليل المعلم الذي تضمن تصميم دروس وحدة أجهزة جسم الإنسان باستخدام استراتيجية التدريس التبادلي. وقد أظهرت نتائج الدراسة وجود فرق ذو دلالة إحصائية بين متوسطات درجات الطالبات على اختبار التحصيل العلمي البعدي يعزى لطريقة التدريس لصالح المجموعة التجريبية. كما وأظهرت نتائج الدراسة وجود فرق ذو دلالة إحصائية بين متوسطات درجات الطالبات على اختبار بقاء أثر التعلم يعزى لطريقة التدريس لصالح المجموعة التجريبية. وأظهرت أيضاً وجود فرق ذو دلالة إحصائية بين متوسطات استجابات الطالبات على مقياس الدافعية نحو العلوم يعزى لطريقة التدريس لصالح المجموعة التجريبية. وفي ضوء النتائج أوصت الدراسة باستخدام استراتيجية التدريس التبادلي في تدريس العلوم، كما أوصت بضرورة دمج استراتيجية التدريس التبادلي في برامج تدريب مشرفي ومعلمي العلوم.,,تأثير استخدام استراتيجية التدريس التبادلي في تحصيل طالبات الصف السابع في العلوم وبقاء أثر التعلم والدافعية نحو تعلم العلوم
9ded01a9-b558-4335-8311-f9dac78a62a8,0,هدفت هذه الدراسة إلى تقصي أثر برنامج تعليمي قائم على الاستقصاء الموجه في التفكير الناقد والدافعية نحوتعلم العـلوم لدى طلبة الصف التاسع الأساسي في مدارس نابلس. تم استخدام المنهج التجريبي بتصميمه شبه التجريبي تكونت عينة الدراسة من (62) طالبة من الصف التاسع الأساسي في مدرسة الحاج معزوز المصري الثانوية للبنات التابعة لمديرية التربية والتعليم في مديرية نابلس للعام الدراسي 2019-2018، موزعين على شعبتين دراسيتين، شعبة تجريبية وشعبة ضابطة. ولتحقيق هدف الدراسة وجمع البيانات تم أستخدام أداتي البحث وهما: اختبار التفكير الناقد، واستبانة قياس الدافعية نحو تعلم العلوم، حيث تم التأكد من صدقهما وثباتهما بالطرق المناسبة. تم استخدام برنامج الرزمة الإحصائية للعلوم الاجتماعية SPSS)) في تحليل البيانات حيث استخدم تحليل التباين الاحادي المصاحب(ANCOVA)، وتم ايجاد المتوسطات الحسابية والانحرافات المعيارية لعلامات الطلبة في الاختبار القبلي والبعدي ولاستبانة الدافعية نحو تعلم العلوم. ولفحص الفرضيات تم استخدام تحليل التباين الاحادي المصاحب(ANCOVA) وقد أشارت نتائج الدراسة الى: وجود فروق ذات دلالة إحصائیة عند مستوى الدلالة α=0.05)) بین متوسطات طالبات المجموعة التجریبیة وطالبات المجموعة الضابطة في اختبار التفكير الناقد لصالح المجموعة التجريبية. عدم وجود فروق ذات دلالة إحصائية عند مستوى الدلالة (α=0.05) في متوسط دافعية طالبات المجموعة التجريبية وطالبات المجموعة الضابطة نحوتعلم العلوم,,أثر برنامج تعليمي قائم على الاستقصاء الموجه في تنمية التفكير الناقد والدافعية نحو تعلم العلوم لدى طالبات الصف التاسع الأساسي
1eb1cc5c-dba4-4322-9f25-da56372d161f,0,هدفت هذه الدراسة الى التعرف على صعوبات تعلم اللغة الفرنسية في مدارس الضفة الفلسطينية من وجهة نظر المعلمين والمعلمات، وتبعا لمتغيرات الدراسة (الجنس، الجهة المشرفة، المؤهل العلمي، سنوات الخبرة، مكان التدريس (المديرية)، الدورات التدريبية). وذلك من خلال الآتي: 1.تحديد صعوبات تعّلم اللغة الفرنسية من وجهة نظر معلمي ومعلمات اللغة الفرنسية. 2.تحديد مستوى صعوبات تعّلم اللغة الفرنسية لدى طلاب وطالبات المدارس في محافظات الضفة الغربية,"This study aimed at identifying the difficulties of learning the French language in schools in the Palestinian West Bank from the teachers' perspectives , in regard to the study variables (sex, the supervisory, educational qualification, years of experience, place of teaching ,the directorate and training courses through the following: 1. Identify the difficulties of learning French language from the French teachers' perspectives. 2. Determine the level of the difficulty of learning the French language for the students of schools in the governorates of the West Bank. To achieve these purposes , the researcher used the descriptive of 40 items analytical method, besides developing a questionnaire designed correctly to gather data necessary for the study. Then , the researcher distribute the questionnaire between all the male and female French teachers in public and private schools in the West Bank. After collecting analyzing data by using different statistical procedures including SPSS ,means , standard deviation , and T- test the researcher concluded basic results in teaching and learning French in regard to learners , curriculum and teachers respectively. According to the results of the study , the researcher suggested a number of recommendation: 1- Working a system for incentives and sanctions for teachers to encourage them to give their best in the learning process. 2. Providing schools with educational equipment , teaching aids and other supportive materials necessary for improving teaching French in Palestine. 3- Designing material and practical training programs necessary to improve teaching and learning French such as integrating technology, theatres…etc.",difficulties of learning French as a foreign language among school students in the Palestinian West Bank
62d2a2b1-533e-404b-900e-755542538751,0,,"Background: Hospitalization and waiting for a surgical operation are the main arising causes for patient anxiety preoperatively, which significantly affects the outcome of both anaesthesia and surgery. Yet, no researches have been conducted and there is currently no published data on the preoperative anxiety levels in the West Bank (Palestinian Territories). The purpose of this study is to assess the level of preoperative anxiety among patients waiting for elective surgery in Rafidia Governmental Hospital. Methods: A cross sectional study was carried out on 320 patients scheduled for elective surgery at the preoperative care unit (recovery room) in Rafidia Governmental Hospital, Nablus, West Bank (Palestinian Territories). The patients’ medical records were reviewed to obtain demographic data, the surgical and medical diagnosis, medication, and medical history of the study participants. All inpatients were assigned an ASA (American Society of Anaesthesiologists) physical status of I or II, were between 18 and 60 years old, and were able to give informed consent and answer questions were enrolled in this study. Illiterate patients, patients with psychological impairment, pregnant women, and alcoholic patients were excluded from the study. The Amsterdam Preoperative Anxiety and Information Scale (APAIS) was applied to assess the level of patient anxiety. SPSS was applied for statistical analysis and description. Results: The mean age ± SD of the sample was 37.20 ± 10.99 years. The majority of interviewed patients were females (197; 61.6%), married (239, 74.7%), and had no previous surgical operations (225, 70.3%). Less than one third of studied patients had a college education (101, 31.6%) and the majority were scheduled for general anaesthesia (267, 83.4%), while the remaining were scheduled for regional anaesthesia",preoperative anxiety and depression in patients waiting for surgical operations in the Palestinian territories
222b26aa-4b0f-49f4-ac76-3dd027db7b28,0,,"introduction The chronic metabolic disorder Diabetes Mellitus is a Fasting -growing global problem with social health and economic consequence and unhealthy lifestyle which are main reasons for increase number of people who are complaining of diabetes mellitus type 2. Aims of study 1- To determine the extent of awareness of diabetic patient about relationship between healthy lifestyle and improving diabetic outcome. 2- This study thought to establish the knowledge, awareness and practice regarding lifestyle modification amongst type 2 diabetic patients. Methods A total of 150 diabetic patients (type2) were selected randomly from Nablus clinics (Almakhfia clinic, Blata Clinic), by using self-reported questionnaire divided into three sections: demographic data, Information about treatment of diabetic client, Measuring the client awareness about diabetes. This study is: quantitative, descriptive, cross sectional study. Result & Conclusions Of the 135 participants. The highest percentage of participants is males, and was (40-49) years, 31 (23%) were obese and 104 (77%) were normal WT. 52.6% of participants follow all of the instructions about the treatment .. The total percentage of participants about the degree of the effectiveness of lifestyle adjustments to improve the health status of diabetic clients was high with 66% degree. Most clients (68%) said that the main cause for disease is the stress and it affect negatively on disease. Despite the positive attitudes of respondents toward healthy lifestyle modifications, the knowledge and practice regarding lifestyle modifications amongst type 2 diabetes mellitus participants seen at Diabetic clinics in Nablus distract were generally poor.","assessment of diabetic patients’ knowledge, lifestyle and self-care practices attending diabetes clinics in Nablus district"
18c7db2d-126a-4708-b2cf-737e4ce520b8,0,,"Breastfeeding women in Palestine suffer from various nutritional problems as a result of multiple reasons. The most important are poverty, lack of health awareness, community traditions, and the blockade imposed by the Israeli occupation on the Gaza Strip. Such situation has created a shortage of minerals and vitamins in the lactating women and their infants; such as vitamin D, vitamin A, calcium, iron, and B12. Therefore, this study aimed to determine the nutritional status and comorbidities of micronutrients deficiencies amongst lactating mothers in the Palestinian population. The study was based on the survey (PMS) made by the Palestinian Ministry of health. This, survey has been prepared to provide an evidence-based source of information on the presented aspects of the nutrition situation in the State of Palestine, for increased donor funding in nutritional aspects, towards informed discussions among policy makers, development partners and other stakeholders. Also, this survey provides an extensive evaluation and documentation of important aspects of the nutrition and health status in Palestine. A representative cross-sectional study on micronutrient status (Micronutrient Profile), prevalence and causes of anaemia, coverage and use of micronutrient supplements, flour fortification and salt iodization, and salt intake was carried out among lactating mothers (18-48 years). The percentage of women who suffer from anaemia was 20.2% in the West bank and 35.3% in Gaza. This study showed that there was significant association (P < 0.05) between micronutrient deficiency and the type of community, there the values for Zinc (P= 0.04), Iron (P=0.0001), Vit A(P=0.0001) and D (P 0.0001). Percentage of lactating women suffering from zinc deficiency, 88.8% in the West Bank and 92.7% in Gaza","nutritional deficiencies among breastfeeding women in Palestine such as vitamin D, vitamin A, calcium and zinc"
